work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,Machine Learning Engineer,202900,USD,202900,US,100,US,L
2022,SE,FT,Machine Learning Engineer,131300,USD,131300,US,100,US,L
2022,EN,FT,Machine Learning Engineer,83000,USD,83000,US,0,US,L
2022,SE,FT,ML Engineer,240000,USD,240000,US,0,US,M
2022,SE,FT,ML Engineer,160000,USD,160000,US,0,US,M
2022,MI,FT,Machine Learning Engineer,95000,GBP,123298,GB,0,GB,M
2022,MI,FT,Machine Learning Engineer,75000,GBP,97341,GB,0,GB,M
2022,MI,FT,Machine Learning Engineer,80000,EUR,87454,FR,100,DE,M
2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
2022,EN,FT,Machine Learning Engineer,28500,GBP,36989,GB,100,GB,L
2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L
2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M
2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,120000,USD,120000,AE,100,AE,S
2022,SE,FT,Machine Learning Engineer,65000,USD,65000,AE,100,AE,S
2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
2022,SE,FT,Machine Learning Engineer,65000,EUR,71056,IE,100,IE,S
2022,MI,FT,Machine Learning Engineer,121000,AUD,87052,AU,100,AU,L
2022,SE,FT,Machine Learning Engineer,57000,EUR,62311,NL,100,NL,L
2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S
2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S
2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
2022,EN,FT,ML Engineer,20000,EUR,21863,PT,100,PT,L
2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M
2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L
2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S
2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L
2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S
2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L
2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L
2021,EN,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S
2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L
2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M
2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L
2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M
2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L
2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M
2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M
2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L
2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S
